format exdata-1
"csr" 7.68418869319770220671
"kat.n=2 bs=16 kat" 8.48325690555420285150
"kat.n=2 bs=32 kat" 8.02716793369946523099
"kat.n=2 bs=64 kat" 7.86070868165462760057
"kat.n=2 bs=128 kat" 7.75688751814877941004
"kat.n=2 bs=256 kat" 7.73176442207973739505
"kat.n=2 bs=512 kat" 8.04742467692918143368
"kat.n=4 bs=16 kat" 16.26672054937820703586
"kat.n=4 bs=32 kat" 9.96262140518897275654
"kat.n=4 bs=64 kat" 8.66010267023780537294
"kat.n=4 bs=128 kat" 8.00329608888167446726
"kat.n=4 bs=256 kat" 7.86039755972188404620
"kat.n=4 bs=512 kat" 8.08948475502529556583
"kat.n=8 bs=16 kat" 111.57345746647548449350
"kat.n=8 bs=32 kat" 41.20326069312555799042
"kat.n=8 bs=64 kat" 21.09707342477612747883
"kat.n=8 bs=128 kat" 11.59250015781547313078
"kat.n=8 bs=256 kat" 9.46707856505153802451
"kat.n=8 bs=512 kat" 8.95756680103526950373
"bs=16 bsr" 6.25068875181487794100
"bs=32 bsr" 7.37765580896211526842
"bs=64 bsr" 9.43896486576666756846
"bs=128 bsr" 14.36938064190316442568
"bs=256 bsr" 23.64048395242088935782
"bs=512 bsr" 41.37052705859012165318
