format exdata-1
"kat.n=2 bs=16 kat" 2.50844965775420150576
"kat.n=2 bs=32 kat" 2.51564184358566437997
"kat.n=2 bs=64 kat" 2.34996610271000737836
"kat.n=2 bs=128 kat" 1.21932142761323323381
"kat.n=2 bs=256 kat" 1.24298113904286731855
"kat.n=2 bs=512 kat" .61083726030323312602
"kat.n=4 bs=16 kat" 2.48190979518496753129
"kat.n=4 bs=32 kat" 2.51790655654708940108
"kat.n=4 bs=64 kat" 2.37907840894990355221
"kat.n=4 bs=128 kat" 1.21727381914549961410
"kat.n=4 bs=256 kat" 1.27633120002935097468
"kat.n=4 bs=512 kat" .60998612483365549647
"kat.n=8 bs=16 kat" 2.48350854752199967359
"kat.n=8 bs=32 kat" 2.49830864538005504583
"kat.n=8 bs=64 kat" 2.35706048370619994572
"kat.n=8 bs=128 kat" 1.22096273589701562256
"kat.n=8 bs=256 kat" 1.29766436916778484389
"kat.n=8 bs=512 kat" .60306438209275310517
"bs=16 bsr" 1.51308234916411474317
"bs=32 bsr" 1.58149416414992117009
"bs=64 bsr" 1.37631431526109700242
"bs=128 bsr" .37791754682228148318
"bs=256 bsr" .15360002874953595228
"bs=512 bsr" .03031908891771092190
