format EX6 fp gupta3 exdata-1 heart1 human-gene2  
"coo" .57029179993311667709 .77608026305384287685 .75462052637921135266 1.52551343218985398225 .66703464925981785568 .72378037609082623903  
 
"bsr-32" .02023259514031974606 .09496575255876441387 .33268333902078356814 .71931594229939477336 .36732531846080198023 .10522024164442167345  
"2kat-32" .15569445419856263314 .39430405914197989286 .72410840218752387687 1.05935643054235696866 .79049630800980957103 .38698588310129517483  
"4kat-32" .14997181320044196901 .37604864138596801327 .69212305611899932386 .99227709685332918656 .69219576234515838033 .33638339243905553653  
"8kat-32" .07521410824326631978 .26583853536801045766 .50405297168735593725 .89465637045103757860 .54286046249450698619 .34231521841849502104  
"bsr-64" .01260902174102630020 .05575140202226926121 .26397230635945215415 .55310611359193701691 .26511426181368332761 .10806474725104692190  
"2kat-64" .27425640095174080320 .58383212274153465299 .82551181769917634609 1.09231690976382879506 .89332891623284429720 .61857403670606322667  
"4kat-64" .23498984188675912021 .46034378404551507081 .80238671878925524324 1.10949196137623397296 .84245169168368585669 .60576564106148346524  
"8kat-64" .11377329505992479891 .33661280543126607096 .81421488184815082687 .97856858620885680177 .84987240234772476366 .55647666568139420620  
"bsr-128" .00777002011550585625 .03404741067691488147 .20532507418294611279 .36307139322016772263 .21175257981763021589 .10883846433107622542  
"2kat-128" .35654243684865119869 .62754254856136254406 .88718009117950005722 1.08919548077800307834 .92375105950244003656 .78484804847041320532  
"4kat-128" .34812193794229722373 .67280724839279672168 .87807670291929021179 1.14068866464891787433 .90635329457476006368 .78469024829975498717  
"8kat-128" .33836150977569075951 .59207535419585863303 .87125589480291641853 1.06311300823400487462 .89918789347723357875 .73667287557411663002  
"bsr-256" .00592606479465937780 .02222669501818605556 .16249408859263095850 .23187934537649121949 .14720965149226098135 .10802525994461664849  
"2kat-256" .43505962543582497661 .70244560198012486608 .90272046680020882096 1.07522486403569934458 .96847089052341235962 .94836476134354743665  
"4kat-256" .43019404915912031047 .71039254283039002099 .91672359494316166061 1.14888603987719586886 .94977991478364828228 .93279321364390215475  
"8kat-256" .42948564786413096122 .70341520484061529639 .89419593598207233724 1.06729167898283138653 .93087585783806068926 .94770803871641367115  
