format EX6 fp gupta3 exdata-1 heart1 human-gene2  
"coo" .00881224870681762695 .02528914809226989746 .01736625470221042633 .06318788006253804113 .21937333038576777930 .13462005555629730224  
"csr" .00667030364274978637 .01902797818183898925 .01303995493799448013 .05078864097595214843 .12419986724853515625 .10099557973444461822  
"bsr-32" .14828322827816009521 .14533684402704238891 .02703605405986309051 .04876261204481124877 .22875449061393737792 .76766771450638771057  
"2kat-32" .01309303194284439086 .02550084143877029418 .01416902896016836166 .05305556207895278930 .13573738932609558105 .13035920448601245880  
"4kat-32" .05321798473596572875 .06533034890890121459 .02109678648412227630 .06584794074296951293 .21030309796333312988 .35769442655146121978  
"8kat-32" .70576191693544387817 .71255616098642349243 .15830126404762268066 .27233292907476425170 1.38069042563438415527 3.23382608033716678619  
"bsr-64" .24276773631572723388 .25473208725452423095 .03542404714971780776 .06238683313131332397 .32426157593727111816 .77229636162519454956  
"2kat-64" .01017042249441146850 .02272991836071014404 .01352418866008520126 .05195534974336624145 .13051322102546691894 .11138445325195789337  
"4kat-64" .03078929334878921508 .04449416697025299072 .01634094398468732833 .05723894387483596801 .15149196982383728027 .15888560749590396881  
"8kat-64" .35511667281389236450 .38576218485832214355 .04998920112848281860 .13944109529256820678 .46448794007301330566 .93006223998963832855  
"bsr-128" .40284513682126998901 .42408601939678192138 .04623568197712302207 .09497441351413726806 .45314112305641174316 .77938201650977134704  
"2kat-128" .00882281363010406494 .02132135629653930664 .01327815884724259376 .05126914381980895996 .12712851166725158691 .10512057878077030181  
"4kat-128" .01521882414817810058 .02816179394721984863 .01401955494657158851 .05289778113365173339 .13621780276298522949 .11960058473050594329  
"8kat-128" .11198043823242187500 .13064883649349212646 .02602341910824179649 .07662062346935272216 .25145986676216125488 .34950028546154499053  
"bsr-256" .57617684453725814819 .65430244058370590209 .05883842008188366889 .15625176578760147094 .61719402670860290527 .79321914538741111755  
"2kat-256" .00794871151447296142 .02049478143453598022 .01316354004666209220 .05110309273004531860 .12551781535148620605 .10279906354844570159  
"4kat-256" .01070332527160644531 .02368905395269393920 .01345841167494654655 .05195329338312149047 .12796953320503234863 .10586269386112689971  
"8kat-256" .04681125283241271972 .06512186676263809204 .01807368407025933265 .06257265061140060424 .17559406161308288574 .15310038439929485321  
